epoch,loss,mean_gap,acc,train_time_sec,eval_time_sec,text_time_sec,inference_time_sec,inference_samples_per_sec,inference_ms_per_sample,eval_samples_per_sec
1,2.337826907634735,0.04862285554409027,0.95,2.7232263386249542,6.398708211258054,0.0035576652735471725,6.394422810524702,781.9314030611808,1.2788845621049405,781.4077208901118
2,2.1010883450508118,0.049593716859817505,0.9518,2.4379589948803186,6.3935538195073605,0.0035476330667734146,6.3892621118575335,782.5629802729071,1.2778524223715066,782.0376806314681
3,2.027731955051422,0.048664961755275724,0.9526,2.4116825740784407,6.414414631202817,0.003503367304801941,6.410150684416294,780.0128649324097,1.2820301368832587,779.4943556778479
4,1.949156492948532,0.047354269027709964,0.9562,2.45654708519578,6.428019270300865,0.0035331882536411285,6.423711666837335,778.3661937712269,1.284742333367467,777.8445878501502
5,1.9353283047676086,0.04847118109464645,0.9566,2.4540709499269724,6.397471332922578,0.00355500727891922,6.3931650295853615,782.0852389797112,1.2786330059170723,781.5587971874246
6,1.9348337054252625,0.05130889117717743,0.9564,2.446095161139965,6.422505972906947,0.0035289768129587173,6.4181755669415,779.0375859697285,1.2836351133883,778.5123160791559
7,1.9096832871437073,0.05544882267713547,0.9562,2.3963939733803272,6.469874748960137,0.003562716767191887,6.465569803491235,773.327046488638,1.293113960698247,772.812487722984
8,1.8821182548999786,0.059761729836463925,0.9578,2.4215823113918304,6.42960779927671,0.003552781417965889,6.425187177956104,778.1874459866762,1.2850374355912209,777.6524099280937
9,1.9229901283979416,0.06332479119300842,0.9592,2.42998250387609,6.447286223992705,0.0035218801349401474,6.442926686257124,776.0448385459807,1.2885853372514249,775.5200911343404
10,1.9138398170471191,0.06552010774612427,0.9586,2.402928836643696,6.44143601693213,0.003497568890452385,6.43719319626689,776.7360474592624,1.2874386392533779,776.224429903032
11,1.9118586331605911,0.06762195527553558,0.9592,2.4078822061419487,6.509776880964637,0.0035334303975105286,6.505502475425601,768.5801394876714,1.3011004950851202,768.0754796098458
12,1.8869934529066086,0.06917553842067718,0.9586,2.465061981230974,6.4809821750968695,0.004090538248419762,6.475671974942088,772.1206415871172,1.2951343949884175,771.4880036566782
13,1.917179524898529,0.07074040323495864,0.959,2.4403896890580654,6.4591480530798435,0.0036223754286766052,6.454691048711538,774.6304141075941,1.2909382097423077,774.0958960703658
14,1.9050195962190628,0.07176219671964645,0.959,2.4423253424465656,6.435435656458139,0.003579370677471161,6.430919032543898,777.493850365293,1.2861838065087796,776.9481767690988
15,1.8954930305480957,0.07283996045589447,0.9584,2.403284003958106,6.480646079406142,0.0035468563437461853,6.476319367066026,772.0434581139497,1.2952638734132051,771.5280141417903
16,1.917929008603096,0.0737270399928093,0.9582,2.448074843734503,6.499547701328993,0.00354141928255558,6.495293002575636,769.788214021647,1.2990586005151272,769.284299425578
17,1.9206145405769348,0.07409001737833024,0.958,2.392827969044447,6.50282334908843,0.004520716145634651,6.49711262434721,769.5726223465873,1.299422524869442,768.8967901459146
