epoch,loss,mean_gap,acc,train_time_sec,eval_time_sec,text_time_sec,inference_time_sec,inference_samples_per_sec,inference_ms_per_sample,eval_samples_per_sec
1,2.3105779886245728,0.043627563118934634,0.926,2.7204275634139776,6.447520291432738,0.0035991985350847244,6.44312397018075,776.0210765989242,1.28862479403615,775.4919370542877
2,2.030835136771202,0.04967712163925171,0.935,2.4572604727,6.432304106652737,0.0035341978073120117,6.428017554804683,777.8447954397235,1.2856035109609365,777.3264318813303
3,1.9489001333713531,0.0524273931980133,0.9154,2.4134537670761347,6.454343464225531,0.0035341233015060425,6.449821699410677,775.2152281134922,1.2899643398821354,774.672130126555
4,1.9051435887813568,0.05695936977863312,0.921,2.435313308611512,6.414908591657877,0.0035278387367725372,6.41047926992178,779.9728833786572,1.2820958539843559,779.4343330943386
5,1.9049897342920303,0.061261364817619325,0.9352,2.4186662565916777,6.429073279723525,0.003537982702255249,6.42477554269135,778.2373044437115,1.28495510853827,777.7170647236766
6,1.9134312868118286,0.06299334913492202,0.9302,2.4190473835915327,6.456977020949125,0.0035386737436056137,6.452704371884465,774.8689095049594,1.2905408743768931,774.3561706628219
7,1.897220715880394,0.06593316942453384,0.9298,2.4220804516226053,6.4523627404123545,0.0035339705646038055,6.448089158162475,775.4235211947442,1.2896178316324949,774.909936275601
8,1.8741130828857422,0.06853087693452835,0.9314,2.4397057201713324,6.437792435288429,0.0035324320197105408,6.433538900688291,777.1772390254881,1.286707780137658,776.6637477456956
9,1.9181731194257736,0.07089623808860779,0.9324,2.435590462759137,6.4375077318400145,0.0035580508410930634,6.433160146698356,777.2229955391541,1.2866320293396711,776.6980962632357
10,1.9102545976638794,0.07285282909870147,0.9342,2.460998512804508,6.470493894070387,0.003560628741979599,6.466202035546303,773.2514345381989,1.2932404071092605,772.7385392608192
11,1.9088597893714905,0.07448696196079255,0.9342,2.4079902302473783,6.471477024257183,0.0035572536289691925,6.467117244377732,773.1420060996746,1.2934234488755465,772.6211468044138
12,1.8846276700496674,0.07585538774728776,0.935,2.4352063667029142,6.461216421797872,0.003566315397620201,6.456924110651016,774.3625160085516,1.2913848221302033,773.8480919988624
13,1.914945811033249,0.07717041373252868,0.9364,2.455835174769163,6.454025560989976,0.003558814525604248,6.449720161035657,775.2274323785748,1.2899440322071314,774.7102878274092
14,1.9011007249355316,0.07838788032531738,0.9374,2.4265193082392216,6.448672452941537,0.0034420322626829147,6.444368872791529,775.8711673241221,1.2888737745583057,775.3533826515362
15,1.8928764760494232,0.07946573495864868,0.9374,2.392848836258054,6.502549730241299,0.0035500191152095795,6.498265352100134,769.4361078043821,1.2996530704200269,768.9291443242001
16,1.9145356565713882,0.08049991726875305,0.9378,2.445966497063637,6.4977807849645615,0.003558896481990814,6.49347241781652,770.0040407165213,1.2986944835633039,769.4934879258581
17,1.9182511419057846,0.08145224004983902,0.9382,2.444215804338455,6.480264563113451,0.0033870767802000046,6.476086962968111,772.0711640518809,1.2952173925936221,771.5734367483515
18,1.895519271492958,0.08229572474956512,0.9386,2.4342864211648703,6.455973524600267,0.003558766096830368,6.4514006450772285,775.0254983489939,1.2902801290154458,774.4765341660201
19,1.9018054455518723,0.08311482071876526,0.9388,2.406438607722521,6.460842926055193,0.0035710427910089493,6.456398734822869,774.4255281248788,1.2912797469645738,773.8928274878922
20,1.9297059625387192,0.08392338454723358,0.939,2.474948514252901,6.491096304729581,0.003551265224814415,6.486803036183119,770.795717414296,1.2973606072366237,770.285906304744
21,1.8956464231014252,0.0847125381231308,0.9388,2.4497508108615875,6.486340094357729,0.003559272736310959,6.48205310292542,771.3605428106484,1.296410620585084,770.8507304989063
22,1.8740739673376083,0.08544633239507675,0.9392,2.4156596045941114,6.481877312064171,0.003566918894648552,6.47758268378675,771.8928872208598,1.29551653675735,771.3814623880527
23,1.8928280472755432,0.08608254492282867,0.9392,2.44193615950644,6.452314900234342,0.0035685766488313675,6.447991667315364,775.4352452632373,1.2895983334630727,774.9156817839757
24,1.9014602154493332,0.08669278770685196,0.939,2.4411393236368895,6.47164205648005,0.0035650376230478287,6.4673551842570305,773.1135615020964,1.2934710368514062,772.6014443264062
25,1.940062940120697,0.08735632449388504,0.9394,2.4119227211922407,6.512905519455671,0.003543384373188019,6.508618131279945,768.2122224947203,1.301723626255989,767.7065151741806
26,1.89618282020092,0.0878885418176651,0.94,2.43930671736598,6.533136749640107,0.0035585425794124603,6.528845559805632,765.8321757191104,1.3057691119611263,765.3291506986191
27,1.8665258586406708,0.08845355659723282,0.9402,2.4309499636292458,6.47358818538487,0.0035541076213121414,6.4692531283944845,772.886746084224,1.2938506256788969,772.3691802466329
28,1.8750089704990387,0.08907757997512818,0.94,2.4568975046277046,6.468880735337734,0.003578662872314453,6.464526526629925,773.4518497840538,1.292905305325985,772.9312387359936
29,1.8943217545747757,0.08949138671159744,0.9398,2.3980221170932055,6.494748225435615,0.0035702716559171677,6.490384349599481,770.3704019174994,1.2980768699198961,769.8527835795576
30,1.9009494483470917,0.08982394784688949,0.94,2.432294450700283,6.472413847222924,0.003547919914126396,6.468135563656688,773.0202854890855,1.2936271127313375,772.5093169290028
