epoch,loss,mean_gap,acc,train_time_sec,eval_time_sec,text_time_sec,inference_time_sec,inference_samples_per_sec,inference_ms_per_sample,eval_samples_per_sec
1,1.9566827565431595,0.014100275188684463,0.6408,4.772150346077979,8.733360840007663,0.0035337070003151894,8.729180253110826,572.7914712516271,1.7458360506221653,572.5172807580469
2,0.6639746800065041,0.02452932856976986,0.7814,1.7524059507995844,8.7511912221089,0.0035787438973784447,8.74689672794193,571.6313059953616,1.7493793455883861,571.3507879210847
3,0.358323335647583,0.03187995366752148,0.8204,1.7565813241526484,8.77206593286246,0.0035999082028865814,8.76779860816896,570.2685729279297,1.753559721633792,569.9911558198266
4,0.24570433236658573,0.03584945797920227,0.835,1.7347573433071375,8.763517398387194,0.0035776412114501,8.759060981683433,570.8374459837398,1.7518121963366866,570.5471641923347
5,0.154874955303967,0.03831817768514156,0.8398,1.7763686394318938,8.798074977472425,0.0035786954686045647,8.793809690512717,568.5817837739082,1.7587619381025434,568.3061366040366
6,0.12388778012245893,0.03991517536342144,0.8462,1.7678275126963854,8.822414297610521,0.003589305095374584,8.818149105645716,567.0124127067446,1.7636298211291432,566.738290827513
7,0.08912958763539791,0.04143613241612911,0.848,1.7514733290299773,8.817657959647477,0.004193147644400597,8.812206593342125,567.394777577916,1.7624413186684251,567.0439954556705
8,0.07442902168259025,0.04260622449219227,0.8498,1.727122942917049,8.828298750333488,0.0036078793928027153,8.823971257545054,566.6382917696704,1.7647942515090107,566.3605346172869
9,0.06271833181381226,0.04372837617993355,0.852,1.7667359169572592,8.818137510679662,0.0035936646163463593,8.813851196318865,567.2889056815785,1.762770239263773,567.0131582711758
10,0.0473592160269618,0.04451109617948532,0.8526,1.781794442795217,8.848019316792488,0.0035851113498210907,8.843748935498297,565.3710927873913,1.7687497870996594,565.0982237923683
11,0.037508794805034995,0.04563536830246449,0.8536,1.7652040785178542,8.847841411828995,0.0035786861553788185,8.843585287220776,565.3815548344559,1.7687170574441553,565.1095863128064
12,0.03599348338320851,0.04644963257014752,0.8536,1.7357236631214619,8.823648789897561,0.0035564182326197624,8.819420929066837,566.9306454714186,1.7638841858133674,566.6590000414158
13,0.030708968872204423,0.04731602892279625,0.8562,1.7758156321942806,8.84422202128917,0.003440835513174534,8.839710546657443,565.6293804654779,1.7679421093314887,565.3408505535436
14,0.024196630693040788,0.048384567722678185,0.8584,1.7752759894356132,8.826769919134676,0.003614172339439392,8.822477472946048,566.7342325704317,1.7644954945892095,566.4586304850881
15,0.024040542426519096,0.049353780969977376,0.8584,1.7542530056089163,8.875341670587659,0.0035946136340498924,8.871068954467773,563.6299329498312,1.7742137908935547,563.3585934578379
16,0.02165183622855693,0.04965749979019165,0.8576,1.7654885007068515,8.87718288321048,0.00356964860111475,8.872950537130237,563.5104105535949,1.7745901074260473,563.2417474981346
17,0.015749490004964173,0.050123732537031174,0.8578,1.7749273190274835,8.848351755179465,0.0035923030227422714,8.843885937705636,565.3623345234083,1.7687771875411271,565.076992680948
18,0.018433457240462303,0.05090390369296074,0.857,1.762068809941411,8.882239621132612,0.0035599209368228912,8.877954269759357,563.1928086216114,1.7755908539518714,562.9210889676976
19,0.01959893445018679,0.05204700157046318,0.8568,1.7340751038864255,8.846823383122683,0.003589280880987644,8.842491677030921,565.4514793593643,1.7684983354061843,565.1746150531987
