epoch,loss,mean_gap,acc,train_time_sec,eval_time_sec,text_time_sec,inference_time_sec,inference_samples_per_sec,inference_ms_per_sample,eval_samples_per_sec
1,0.26374052081755395,0.07712031193077565,0.9614,70.23636713530868,10.747559315524995,0.003587072715163231,10.743310722522438,465.40588177515195,2.1486621445044873,465.2219032443424
2,0.04542036084042993,0.08803846836090087,0.9654,67.30989086069167,10.784765111282468,0.0036008190363645554,10.780468146316707,463.80175073457434,2.1560936292633412,463.6169585899703
3,0.013218402511819865,0.10084810629487037,0.9656,67.25618859846145,10.776145339943469,0.003608549013733864,10.771893546916544,464.17094433979537,2.154378709383309,463.98780289893807
4,0.005576556711976719,0.10996502116322518,0.969,67.235321004875,10.72912660613656,0.0036068642511963844,10.724838075228035,466.20750494582063,2.144967615045607,466.021157504119
5,0.003531196781266911,0.11789786368608475,0.9692,67.23172871395946,10.761003019288182,0.003586011938750744,10.75676654279232,464.82369772636747,2.151353308558464,464.64070226891727
6,0.002812676458726311,0.12502747699618338,0.9694,67.17717034555972,10.74386468809098,0.0036063482984900475,10.739546165801585,465.56902152175877,2.147909233160317,465.38188493217365
7,0.002048098047812259,0.12782075107097626,0.9698,67.19129171501845,10.772610640153289,0.003596353344619274,10.768372987397015,464.32269813200674,2.153674597479403,464.14004618000865
8,0.002805724321035179,0.1294871099293232,0.9714,67.20396172627807,10.763336070813239,0.003437291830778122,10.75920840445906,464.71820342542986,2.151841680891812,464.5399871475181
9,0.0032514647670149706,0.13593157827854158,0.971,67.24926378205419,10.731944437138736,0.0036149146035313606,10.727668388746679,466.08450399576094,2.1455336777493357,465.8987967452671
10,0.006937326610070367,0.13489447087049483,0.9664,67.2043079873547,10.786148332059383,0.003600616939365864,10.781862694770098,463.74176165546277,2.1563725389540194,463.55750413135263
11,0.00848272227956806,0.14037013798952103,0.9668,67.21122288983315,10.780170473270118,0.003488951362669468,10.775836969725788,464.0010807557007,2.1551673939451574,463.8145577008924
12,0.012622305115157568,0.14374018609523773,0.9624,67.17275758925825,10.761432914063334,0.0034737903624773026,10.757312536239624,464.80010533818916,2.151462507247925,464.6221409293797
13,0.008755105273878004,0.14659941494464873,0.9664,67.20445850957185,10.755362953059375,0.003589167259633541,10.751041339710355,465.07122817320555,2.150208267942071,464.8843578614652
