epoch,loss,mean_gap,acc,train_time_sec,eval_time_sec,text_time_sec,inference_time_sec,inference_samples_per_sec,inference_ms_per_sample,eval_samples_per_sec
1,2.9909918010234833,-0.007933368533849716,0.1386,4.762288033030927,8.848575796931982,0.003525582142174244,8.844397851265967,565.3296113634589,1.7688795702531934,565.0626851988568
2,2.942983478307724,-0.007933233678340913,0.1386,1.6653725747019053,8.82220168504864,0.0035759340971708298,8.817905383184552,567.028084644096,1.7635810766369104,566.7519490598036
3,2.9450248181819916,-0.007933101616799831,0.1386,1.6801813608035445,8.80259018484503,0.0035598911345005035,8.798366201110184,568.2873258184112,1.7596732402220367,568.0146292176869
4,2.97329780459404,-0.007932931743562221,0.1386,1.664774595759809,8.829402417875826,0.0035392381250858307,8.825199397280812,566.5594367806104,1.7650398794561624,566.2897400482169
5,2.92651703953743,-0.00793272741138935,0.1386,1.6893270341679454,8.862373217009008,0.0036085443571209908,8.858105738647282,564.4547657842193,1.7716211477294563,564.1829651682698
6,2.9656800031661987,-0.007932503893971442,0.1386,1.6785583905875683,8.82009213976562,0.0034235045313835144,8.815999832004309,567.1506460162052,1.7631999664008617,566.887501940866
