epoch,loss,mean_gap,acc,train_time_sec,eval_time_sec,text_time_sec,inference_time_sec,inference_samples_per_sec,inference_ms_per_sample,eval_samples_per_sec
1,1.949333667755127,0.013706770911812782,0.6376,4.81534427870065,8.944405252113938,0.0035598278045654297,8.940184780396521,559.2725567556151,1.7880369560793041,559.0086606170142
2,0.694455411285162,0.024396104365587236,0.7844,1.7439067671075463,8.91635284665972,0.0036181677132844925,8.912015565671027,561.0403127279017,1.7824031131342053,560.7673996294483
3,0.3716203272342682,0.0315876942127943,0.8174,1.7498372960835695,8.930347917601466,0.0035806987434625626,8.926070971414447,560.1568726052475,1.7852141942828894,559.8886007727806
4,0.2480202540755272,0.03547665812075138,0.8286,1.7342709256336093,8.93102124799043,0.0035855593159794807,8.926760866306722,560.1135814976362,1.7853521732613444,559.8463894736619
5,0.16003614384680986,0.038285475596785544,0.8396,1.7307706074789166,8.986002327874303,0.003583262674510479,8.981698674149811,556.6875689551331,1.7963397348299623,556.420955344086
6,0.11102071311324835,0.04006215855479241,0.8456,1.780045130290091,8.955042526125908,0.003597608767449856,8.950766062363982,558.6114043382173,1.7901532124727964,558.3446405098289
7,0.10089198499917984,0.04146688207983971,0.8508,1.7542025232687593,8.976146281696856,0.003576858900487423,8.97186688799411,557.2976129071702,1.7943733775988222,557.031920279133
8,0.0782779436558485,0.04280319325625896,0.8532,1.7485304167494178,9.01186593901366,0.003596033900976181,9.007593496702611,555.0872163392296,1.8015186993405223,554.8240546227262
9,0.051471542567014694,0.0439942505210638,0.8526,1.761077081784606,8.971304214559495,0.0035990457981824875,8.966642438434064,557.6223245579981,1.793328487686813,557.332566193165
10,0.049992450047284365,0.04512510150671005,0.852,1.759335806593299,8.980909183621407,0.0035828091204166412,8.976652813144028,557.0004882754037,1.7953305626288056,556.7365060453524
11,0.037923127645626664,0.046122264489531516,0.8562,1.7952450457960367,9.043264614418149,0.0035989629104733467,9.038983950391412,553.1595174238015,1.8077967900782823,552.8976772423798
12,0.03157414891757071,0.046823954209685326,0.8582,1.7701182253658772,9.021167127415538,0.003620055504143238,9.016869273968041,554.5161904958678,1.8033738547936082,554.2520085682576
13,0.03196887229569256,0.047609633579850194,0.8586,1.7609775243327022,9.009572447277606,0.0035893097519874573,9.005295150913298,555.2288865837907,1.8010590301826597,554.9652915561863
14,0.022946445271372795,0.04863180704414845,0.8578,1.7483059214428067,9.00933713465929,0.0035890042781829834,9.005064765922725,555.2430915234693,1.8010129531845451,554.9797865555274
15,0.025906547904014587,0.04953075349330902,0.8578,1.7599497819319367,9.005541565828025,0.003601470962166786,9.001257824711502,555.477922904653,1.8002515649423003,555.2136940850673
16,0.021402365993708372,0.05013330727815628,0.859,1.7752395858988166,9.045151909813285,0.0036248955875635147,9.04084518738091,553.0456385846461,1.808169037476182,552.7823136475341
17,0.020837321528233588,0.0507500160485506,0.8584,1.8054745886474848,9.03558003064245,0.0035686325281858444,9.031244874931872,553.6335321699178,1.8062489749863744,553.3679058835683
18,0.016704838257282972,0.0514349065721035,0.8592,1.7658091308549047,9.075589077547193,0.0035673528909683228,9.071316165849566,551.1879322234746,1.8142632331699133,550.9284253922305
19,0.021687752450816333,0.05186372324824333,0.8584,1.7774324705824256,9.075243747793138,0.0035796714946627617,9.070988916791975,551.2078171261054,1.814197783358395,550.949389234407
20,0.0136067463317886,0.05247064344584942,0.8638,1.7837109249085188,9.027419544756413,0.003676028922200203,9.02304522972554,554.1366437494949,1.8046090459451078,553.8681319961756
21,0.017978779913391918,0.05363861471414566,0.8608,1.7829701723530889,9.038839956745505,0.003618149086833,9.034502832219005,553.4338848363533,1.806900566443801,553.1683295563387
22,0.015463889692910016,0.054705198109149936,0.859,1.7521001659333706,9.062535020522773,0.0036069154739379883,9.058238653466105,551.9836903487596,1.811647730693221,551.7220058931782
23,0.010090798488818109,0.05545448586344719,0.8602,1.7836637161672115,9.073611533269286,0.00366156455129385,9.069270609878004,551.3122515667507,1.8138541219756008,551.048497245778
24,0.011552533600479364,0.055720618739724156,0.8606,1.7462983718141913,9.037164757028222,0.0036107460036873817,9.032837592065334,553.535912612015,1.806567518413067,553.2708691751458
25,0.010587579978164285,0.055991950631141665,0.8622,1.7515121418982744,9.034254315309227,0.0035835588350892067,9.029983961954713,553.710839472815,1.8059967923909426,553.4491088575094
