epoch,loss,mean_gap,acc,train_time_sec,eval_time_sec,text_time_sec,inference_time_sec,inference_samples_per_sec,inference_ms_per_sample,eval_samples_per_sec
1,2.990361452102661,-0.007916013337671756,0.1388,4.723058603703976,8.83196637313813,0.0035158563405275345,8.827675949782133,566.4004918671035,1.7655351899564267,566.1253438653464
2,2.940015971660614,-0.007896905206143856,0.139,1.6821376672014594,8.776568818837404,0.0035869060084223747,8.77230525482446,569.9756055855644,1.754461050964892,569.6987174838024
3,2.93891042470932,-0.007872754894196986,0.1392,1.6522901225835085,8.823112161830068,0.0035850992426276207,8.818848570808768,566.967440233692,1.7637697141617537,566.693464651923
4,2.9619895219802856,-0.007833252847194671,0.1392,1.6462336722761393,8.832541473209858,0.0035892585292458534,8.828258275985718,566.3631311739944,1.7656516551971435,566.0884825919687
5,2.9092865884304047,-0.007777039334177971,0.1406,1.6839238731190562,8.81813577376306,0.0035163182765245438,8.813832893036306,567.2900837444325,1.7627665786072613,567.0132699562977
6,2.9388576447963715,-0.007717204093933105,0.1412,1.6992259752005339,8.811932164244354,0.0035965554416179657,8.807659598067403,567.6876977735506,1.7615319196134807,567.4124478951618
7,2.9324761033058167,-0.0076507112011313435,0.1436,1.6748962495476007,8.923575259745121,0.006473276764154434,8.91586331371218,560.7981890334988,1.783172662742436,560.313535153937
8,2.8763305246829987,-0.007569300197064877,0.1452,1.6792629370465875,8.875582766719162,0.0035719601437449455,8.871210856363177,563.6209172520773,1.7742421712726355,563.3432903976217
9,2.8947043120861053,-0.007463276013731956,0.1474,1.663570960983634,8.839365717023611,0.0035997722297906876,8.834921709261835,565.9359714255752,1.766984341852367,565.6514460500904
10,2.8868458569049835,-0.007348830439150333,0.1488,1.6498242747038603,8.876546924933791,0.0035646967589855194,8.872250229120255,563.5548897831058,1.7744500458240509,563.2821008308131
11,2.8597123324871063,-0.007226621359586715,0.1504,1.6701248502358794,8.892769807949662,0.003574768081307411,8.888498801738024,562.5246862858685,1.7776997603476048,562.2545177690607
12,2.862694889307022,-0.007106886431574822,0.152,1.6827103001996875,8.869814501143992,0.0035935258492827415,8.865542901679873,563.9812536525634,1.7731085803359747,563.7096468426844
13,2.8196763694286346,-0.006955586932599544,0.1542,1.6587224202230573,8.850905508734286,0.0034319255501031876,8.846793473698199,565.176525807363,1.7693586947396398,564.9139509020721
14,2.7733444273471832,-0.006783737428486347,0.1576,1.6673256810754538,8.89308722037822,0.0035647787153720856,8.888809250667691,562.5050396513369,1.7777618501335382,562.2344497580843
15,2.7444862723350525,-0.006595169939100742,0.162,1.6808202099055052,8.876717759296298,0.0034376531839370728,8.872301870025694,563.5516096326782,1.7744603740051388,563.2712603443613
16,2.7135429084300995,-0.006368417292833328,0.1662,1.6942987954244018,8.89943783544004,0.0036495476961135864,8.895124152302742,562.1057013246539,1.7790248304605485,561.833240756917
17,2.6874474585056305,-0.006103428080677986,0.1684,1.6603641333058476,8.904194796457887,0.00357061717659235,8.899948266334832,561.8010184298628,1.7799896532669663,561.5330879765809
18,2.642775237560272,-0.005793583020567894,0.1728,1.6580436676740646,8.88439747877419,0.003590845502912998,8.879792449995875,563.0762237018639,1.7759584899991752,562.7843657316722
19,2.5915763080120087,-0.005474517494440079,0.1778,1.6991924392059445,8.877569396980107,0.0034688403829932213,8.87332090549171,563.4868898864565,1.774664181098342,563.21722494232
20,2.5677348971366882,-0.00518326461315155,0.1822,1.7011278634890914,8.887748890556395,0.003577861934900284,8.883080602623522,562.8677959449454,1.7766161205247044,562.5721497726729
