experiment_dir,dataset,encoder,method,train_per_class,epochs_config,epoch_result,acc,mean_gap,split,keep_recommendation,result_path,args_path,log_path
random_adapter_full_dim192_trial41_narrow_class50/34_t034_lp0p000116012_lb8p04071em05_la0p00029756_ad0p214348_wd2p34921em06,cifar10,vim,vim adapter,50,20,7,0.9304,0.09993466809391975,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/34_t034_lp0p000116012_lb8p04071em05_la0p00029756_ad0p214348_wd2p34921em06/args/t034_lp0p000116012_lb8p04071em05_la0p00029756_ad0p214348_wd2p34921em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/34_t034_lp0p000116012_lb8p04071em05_la0p00029756_ad0p214348_wd2p34921em06/args/t034_lp0p000116012_lb8p04071em05_la0p00029756_ad0p214348_wd2p34921em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/34_t034_lp0p000116012_lb8p04071em05_la0p00029756_ad0p214348_wd2p34921em06/log/t034_lp0p000116012_lb8p04071em05_la0p00029756_ad0p214348_wd2p34921em06_train_log.csv
random_adapter_full_dim192_trial41_narrow_class50/35_t035_lp0p000116012_lb5p8118em05_la0p000646102_ad0p119753_wd1p95397em06,cifar10,vim,vim adapter,50,20,7,0.9376,0.10016480609774589,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/35_t035_lp0p000116012_lb5p8118em05_la0p000646102_ad0p119753_wd1p95397em06/args/t035_lp0p000116012_lb5p8118em05_la0p000646102_ad0p119753_wd1p95397em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/35_t035_lp0p000116012_lb5p8118em05_la0p000646102_ad0p119753_wd1p95397em06/args/t035_lp0p000116012_lb5p8118em05_la0p000646102_ad0p119753_wd1p95397em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/35_t035_lp0p000116012_lb5p8118em05_la0p000646102_ad0p119753_wd1p95397em06/log/t035_lp0p000116012_lb5p8118em05_la0p000646102_ad0p119753_wd1p95397em06_train_log.csv
random_adapter_full_dim192_trial41_narrow_class50/36_t036_lp0p000116012_lb8p95976em05_la0p000611172_ad0p189833_wd1p10895em06,cifar10,vim,vim adapter,50,20,15,0.9352,0.1256375141441822,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/36_t036_lp0p000116012_lb8p95976em05_la0p000611172_ad0p189833_wd1p10895em06/args/t036_lp0p000116012_lb8p95976em05_la0p000611172_ad0p189833_wd1p10895em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/36_t036_lp0p000116012_lb8p95976em05_la0p000611172_ad0p189833_wd1p10895em06/args/t036_lp0p000116012_lb8p95976em05_la0p000611172_ad0p189833_wd1p10895em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/36_t036_lp0p000116012_lb8p95976em05_la0p000611172_ad0p189833_wd1p10895em06/log/t036_lp0p000116012_lb8p95976em05_la0p000611172_ad0p189833_wd1p10895em06_train_log.csv
random_adapter_full_dim192_trial41_narrow_class50/37_t037_lp0p000116012_lb6p78298em05_la0p00029711_ad0p192641_wd7p77665em06,cifar10,vim,vim adapter,50,20,18,0.9398,0.12449864894151688,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/37_t037_lp0p000116012_lb6p78298em05_la0p00029711_ad0p192641_wd7p77665em06/args/t037_lp0p000116012_lb6p78298em05_la0p00029711_ad0p192641_wd7p77665em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/37_t037_lp0p000116012_lb6p78298em05_la0p00029711_ad0p192641_wd7p77665em06/args/t037_lp0p000116012_lb6p78298em05_la0p00029711_ad0p192641_wd7p77665em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/37_t037_lp0p000116012_lb6p78298em05_la0p00029711_ad0p192641_wd7p77665em06/log/t037_lp0p000116012_lb6p78298em05_la0p00029711_ad0p192641_wd7p77665em06_train_log.csv
random_adapter_full_dim192_trial41_narrow_class50/38_t038_lp0p000116012_lb5p28548em05_la0p000509723_ad0p131495_wd4p5884em06,cifar10,vim,vim adapter,50,20,13,0.9382,0.11473496556282044,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/38_t038_lp0p000116012_lb5p28548em05_la0p000509723_ad0p131495_wd4p5884em06/args/t038_lp0p000116012_lb5p28548em05_la0p000509723_ad0p131495_wd4p5884em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/38_t038_lp0p000116012_lb5p28548em05_la0p000509723_ad0p131495_wd4p5884em06/args/t038_lp0p000116012_lb5p28548em05_la0p000509723_ad0p131495_wd4p5884em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/38_t038_lp0p000116012_lb5p28548em05_la0p000509723_ad0p131495_wd4p5884em06/log/t038_lp0p000116012_lb5p28548em05_la0p000509723_ad0p131495_wd4p5884em06_train_log.csv
random_adapter_full_dim192_trial41_narrow_class50/39_t039_lp0p000116012_lb5p37411em05_la0p000566516_ad0p118394_wd8p64596em06,cifar10,vim,vim adapter,50,20,18,0.9386,0.1241164155304432,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/39_t039_lp0p000116012_lb5p37411em05_la0p000566516_ad0p118394_wd8p64596em06/args/t039_lp0p000116012_lb5p37411em05_la0p000566516_ad0p118394_wd8p64596em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/39_t039_lp0p000116012_lb5p37411em05_la0p000566516_ad0p118394_wd8p64596em06/args/t039_lp0p000116012_lb5p37411em05_la0p000566516_ad0p118394_wd8p64596em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/39_t039_lp0p000116012_lb5p37411em05_la0p000566516_ad0p118394_wd8p64596em06/log/t039_lp0p000116012_lb5p37411em05_la0p000566516_ad0p118394_wd8p64596em06_train_log.csv
random_adapter_full_dim192_trial41_narrow_class50/3_t003_lp0p000116012_lb7p30014em05_la0p00056062_ad0p15321_wd2p34854em06,cifar10,vim,vim adapter,50,20,19,0.9364,0.1276183992624283,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/3_t003_lp0p000116012_lb7p30014em05_la0p00056062_ad0p15321_wd2p34854em06/args/t003_lp0p000116012_lb7p30014em05_la0p00056062_ad0p15321_wd2p34854em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/3_t003_lp0p000116012_lb7p30014em05_la0p00056062_ad0p15321_wd2p34854em06/args/t003_lp0p000116012_lb7p30014em05_la0p00056062_ad0p15321_wd2p34854em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/3_t003_lp0p000116012_lb7p30014em05_la0p00056062_ad0p15321_wd2p34854em06/log/t003_lp0p000116012_lb7p30014em05_la0p00056062_ad0p15321_wd2p34854em06_train_log.csv
random_adapter_full_dim192_trial41_narrow_class50/40_t040_lp0p000116012_lb8p3603em05_la0p000255802_ad0p137239_wd1p51101em06,cifar10,vim,vim adapter,50,20,20,0.9376,0.12822189927101135,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/40_t040_lp0p000116012_lb8p3603em05_la0p000255802_ad0p137239_wd1p51101em06/args/t040_lp0p000116012_lb8p3603em05_la0p000255802_ad0p137239_wd1p51101em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/40_t040_lp0p000116012_lb8p3603em05_la0p000255802_ad0p137239_wd1p51101em06/args/t040_lp0p000116012_lb8p3603em05_la0p000255802_ad0p137239_wd1p51101em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/40_t040_lp0p000116012_lb8p3603em05_la0p000255802_ad0p137239_wd1p51101em06/log/t040_lp0p000116012_lb8p3603em05_la0p000255802_ad0p137239_wd1p51101em06_train_log.csv
random_adapter_full_dim192_trial41_narrow_class50/4_t004_lp0p000116012_lb5p19112em05_la0p00056405_ad0p1758_wd1p68748em06,cifar10,vim,vim adapter,50,20,12,0.9354,0.11421648859977722,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/4_t004_lp0p000116012_lb5p19112em05_la0p00056405_ad0p1758_wd1p68748em06/args/t004_lp0p000116012_lb5p19112em05_la0p00056405_ad0p1758_wd1p68748em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/4_t004_lp0p000116012_lb5p19112em05_la0p00056405_ad0p1758_wd1p68748em06/args/t004_lp0p000116012_lb5p19112em05_la0p00056405_ad0p1758_wd1p68748em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/4_t004_lp0p000116012_lb5p19112em05_la0p00056405_ad0p1758_wd1p68748em06/log/t004_lp0p000116012_lb5p19112em05_la0p00056405_ad0p1758_wd1p68748em06_train_log.csv
random_adapter_full_dim192_trial41_narrow_class50/5_t005_lp0p000116012_lb8p84632em05_la0p000612278_ad0p193406_wd5p72912em06,cifar10,vim,vim adapter,50,20,16,0.9338,0.12471672669053077,test,index_only,random_adapter_full_dim192_trial41_narrow_class50/5_t005_lp0p000116012_lb8p84632em05_la0p000612278_ad0p193406_wd5p72912em06/args/t005_lp0p000116012_lb8p84632em05_la0p000612278_ad0p193406_wd5p72912em06_cifar10_final_test_result.json,random_adapter_full_dim192_trial41_narrow_class50/5_t005_lp0p000116012_lb8p84632em05_la0p000612278_ad0p193406_wd5p72912em06/args/t005_lp0p000116012_lb8p84632em05_la0p000612278_ad0p193406_wd5p72912em06_args.json,random_adapter_full_dim192_trial41_narrow_class50/5_t005_lp0p000116012_lb8p84632em05_la0p000612278_ad0p193406_wd5p72912em06/log/t005_lp0p000116012_lb8p84632em05_la0p000612278_ad0p193406_wd5p72912em06_train_log.csv
